payment_type,datetime,transaction_id,transaction_success,failure_reason
Wallet,2021-12-03 13:06:31,72348,Y,
Wallet,2021-08-17 08:10:31,862987,N,Insifficient funds
Electronic,2021-07-19 18:28:54,2329,N,Gateway error
Wallet,2021-03-05 16:51:24,679662,N,Gateway error
Electronic,2021-10-12 12:15:11,186598,N,Authentication error
Card,2021-06-05 17:29:54,611941,Y,
Wallet,2021-06-15 17:32:25,319990,Y,
Card,2021-02-21 09:12:38,145984,Y,
Wallet,2021-01-11 11:20:08,587509,Y,
Card,2021-04-16 11:31:31,365595,Y,
Electronic,2021-09-23 18:48:53,483993,N,Authentication error
Electronic,2021-12-03 20:11:19,328149,N,Authentication error
Wallet,2021-12-25 19:55:25,434195,N,Insifficient funds
Wallet,2021-08-19 13:53:32,147564,N,Gateway error
Wallet,2021-08-08 11:38:57,266789,Y,
Electronic,2021-10-18 14:29:11,156594,N,Gateway error
Wallet,2021-08-10 14:54:57,379161,Y,
Wallet,2021-05-20 11:29:09,456811,N,Insifficient funds
Electronic,2021-03-06 18:55:32,863040,Y,
Wallet,2021-03-20 20:35:51,296626,N,Authentication error
Wallet,2021-08-08 14:31:56,371891,Y,
Electronic,2021-09-06 12:34:33,770146,Y,
Electronic,2021-09-22 13:45:59,126959,Y,
Electronic,2021-07-02 10:59:55,434020,Y,
Card,2021-08-04 09:30:47,892946,N,Declined by merchant
Electronic,2021-07-28 09:47:52,495695,N,Gateway error
Card,2021-02-19 17:02:15,794221,Y,
Wallet,2021-07-15 12:56:45,765866,N,Gateway error
Electronic,2021-01-01 14:08:23,97759,N,Authentication error
Card,2021-09-22 17:46:19,93673,N,Declined by merchant
Card,2021-11-08 16:29:38,617481,Y,
Card,2021-04-26 20:35:51,450939,N,Declined by merchant
Card,2021-11-13 14:43:26,281700,Y,
Electronic,2021-06-26 19:14:35,474741,N,Authentication error
Electronic,2021-06-10 19:01:51,344604,N,Authentication error
Card,2021-04-06 16:23:47,112035,N,Gateway error
Card,2021-02-04 17:45:43,145459,Y,
Electronic,2021-08-07 19:50:35,386082,N,Gateway error
Card,2021-12-24 20:57:18,566777,Y,
Electronic,2021-09-19 19:27:00,406961,N,Authentication error
Wallet,2021-08-05 15:36:26,806162,Y,
Wallet,2021-10-24 14:59:02,573845,Y,
Card,2021-09-07 14:25:42,47571,N,Gateway error
Electronic,2021-05-12 13:58:13,112244,N,Authentication error
Wallet,2021-09-20 09:25:20,891834,N,Authentication error
Electronic,2021-05-22 15:12:41,252732,Y,
Card,2021-09-05 13:24:16,537486,Y,
Wallet,2021-02-04 10:50:20,469075,Y,
Electronic,2021-03-12 12:31:13,402267,Y,
Electronic,2021-05-19 11:44:15,309900,N,Authentication error
Electronic,2021-10-09 19:16:00,205154,Y,
Card,2021-02-08 20:43:27,715015,N,Insufficient funds
Card,2021-09-05 12:21:38,332947,N,Declined by merchant
