id, payment type, payment trans id, payment trans success, failure reason
1, Cash, 42176, Y, 
2, Cash, 76537, Y, 
3, Electronic, 52421, N, Account locked
4, Cash, 23263, N, Insufficent funds
5, Gift card, 58479, Y, 
6, Electronic, 28886, N, Account locked
7, Internet Banking, 54750, Y, 
8, Cash, 29644, N, Insufficent funds
9, Electronic, 43910, Y, 
10, Card, 63143, Y, 
11, Gift card, 39841, Y, 
12, Internet Banking, 29240, Y, 
13, Internet Banking, 81737, Y, 
14, Cash, 66329, N, Insufficent funds
15, Internet Banking, 38371, Y, 
16, Cash, 64990, Y, 
17, Cash, 23686, Y, 
18, Gift card, 41044, Y, 
19, Electronic, 28785, Y, 
20, Cash, 75309, Y, 
21, Gift card, 82039, Y, 
22, Internet Banking, 78155, Y, 
23, Gift card, 29686, Y, 
24, Electronic, 58896, Y, 
25, Electronic, 83263, Y, 
26, Gift card, 53997, Y, 
27, Electronic, 35439, Y, 
28, Gift card, 60251, Y, 
29, Electronic, 97717, Y, 
30, Electronic, 59796, Y, 
31, Gift card, 66658, N, Insufficent funds
32, Card, 70841, Y, 
33, Gift card, 80674, Y, 
34, Internet Banking, 11902, Y, 
35, Internet Banking, 17118, Y, 
36, Electronic, 42251, Y, 
37, Internet Banking, 67237, Y, 
38, Card, 85974, Y, 
39, Internet Banking, 67521, Y, 
40, Cash, 12463, Y, 
41, Internet Banking, 63454, Y, 
42, Internet Banking, 27461, Y, 
43, Electronic, 66994, Y, 
44, Gift card, 61888, N, Insufficent funds
45, Cash, 65960, Y, 
46, Internet Banking, 81908, Y, 
47, Gift card, 85862, N, Insufficent funds
48, Electronic, 51607, Y, 
49, Internet Banking, 14022, Y, 
50, Internet Banking, 29438, Y, 
51, Gift card, 77002, Y, 
52, Electronic, 64542, Y, 
53, Internet Banking, 71479, N, Account locked
54, Gift card, 62620, Y, 
55, Card, 71081, N, Invalid card number
56, Cash, 88601, Y, 
57, Gift card, 33516, Y, 
58, Card, 44366, Y, 
59, Cash, 14800, Y, 
60, Electronic, 28513, Y, 
61, Electronic, 13902, Y, 
62, Internet Banking, 64795, Y, 
63, Electronic, 68354, Y, 
64, Gift card, 62240, Y, 
65, Internet Banking, 12236, Y, 
